cohort,country,id
Crosses_F9,Sweden,175x6913 rep1
Crosses_F9,Sweden,175x6913 rep2
Crosses_F9,Sweden,991x6210 rep1
Crosses_F9,Sweden,991x6210 rep2
Crosses_F9,Sweden,992x9332 rep1
Crosses_F9,Sweden,992x9332 rep2
Crosses_F9,Sweden,997x8307 rep1
Crosses_F9,Sweden,997x8307 rep2
Crosses_F9,Sweden,1002x6038 rep1
Crosses_F9,Sweden,1002x6038 rep2
Crosses_F9,Sweden,1002x6244 rep1
Crosses_F9,Sweden,1002x6244 rep2
Crosses_F9,Sweden,1061x6131 rep1
Crosses_F9,Sweden,1061x6131 rep2
Crosses_F9,Sweden,1062x6108 rep1
Crosses_F9,Sweden,1062x6108 rep2
Crosses_F9,Sweden,1063x1435 rep1
Crosses_F9,Sweden,1063x1435 rep2
Crosses_F9,Sweden,1137x1074 rep1
Crosses_F9,Sweden,1137x1074 rep2
Crosses_F9,Sweden,1137x6237 rep1
Crosses_F9,Sweden,1137x6237 rep2
Crosses_F9,Sweden,1158x6092 rep1
Crosses_F9,Sweden,1158x6092 rep2
Crosses_F9,Sweden,1254x6076 rep1
Crosses_F9,Sweden,1254x6076 rep2
Crosses_F9,Sweden,1257x8334 rep1
Crosses_F9,Sweden,1257x8334 rep2
Crosses_F9,Sweden,1317x6276 rep1
Crosses_F9,Sweden,1317x6276 rep2
Crosses_F9,Sweden,1318x6035 rep1
Crosses_F9,Sweden,1318x6035 rep2
Crosses_F9,Sweden,1367x8256 rep1
Crosses_F9,Sweden,1367x8256 rep2
Crosses_F9,Sweden,1435x6240 rep1
Crosses_F9,Sweden,1435x6240 rep2
Crosses_F9,Sweden,1552x1158 rep1
Crosses_F9,Sweden,1552x1158 rep2
Crosses_F9,Sweden,1585x9427 rep1
Crosses_F9,Sweden,1585x9427 rep2
Crosses_F9,Sweden,5829x9336 rep1
Crosses_F9,Sweden,5829x9336 rep2
Crosses_F9,Sweden,5830x6085 rep1
Crosses_F9,Sweden,5830x6085 rep2
Crosses_F9,Sweden,5831x8237 rep1
Crosses_F9,Sweden,5831x8237 rep2
Crosses_F9,Sweden,5835x9058 rep1
Crosses_F9,Sweden,5835x9058 rep2
Crosses_F9,Sweden,5856x9452 rep1
Crosses_F9,Sweden,5856x9452 rep2
Crosses_F9,Sweden,5865x8426 rep1
Crosses_F9,Sweden,5865x8426 rep2
Crosses_F9,Sweden,5867x6913 rep1
Crosses_F9,Sweden,5867x6913 rep2
Crosses_F9,Sweden,6011x6017 rep2
Crosses_F9,Sweden,6012x997 rep1
Crosses_F9,Sweden,6012x997 rep2
Crosses_F9,Sweden,6013x8241 rep1
Crosses_F9,Sweden,6013x8241 rep2
Crosses_F9,Sweden,6017x9392 rep1
Crosses_F9,Sweden,6017x9392 rep2
Crosses_F9,Sweden,6019x6012 rep1
Crosses_F9,Sweden,6019x6012 rep2
Crosses_F9,Sweden,6020x6030 rep1
Crosses_F9,Sweden,6020x6030 rep2
Crosses_F9,Sweden,6021x9407 rep1
Crosses_F9,Sweden,6021x9407 rep2
Crosses_F9,Sweden,6023x9380 rep1
Crosses_F9,Sweden,6024x1367 rep1
Crosses_F9,Sweden,6024x1367 rep2
Crosses_F9,Sweden,6024x6124 rep1
Crosses_F9,Sweden,6024x6124 rep2
Crosses_F9,Sweden,6025x6046 rep1
Crosses_F9,Sweden,6025x6046 rep2
Crosses_F9,Sweden,6030x992 rep1
Crosses_F9,Sweden,6030x992 rep2
Crosses_F9,Sweden,6034x6231 rep1
Crosses_F9,Sweden,6034x6231 rep2
Crosses_F9,Sweden,6035x9433 rep1
Crosses_F9,Sweden,6035x9433 rep2
Crosses_F9,Sweden,6036x1318 rep1
Crosses_F9,Sweden,6036x1318 rep2
Crosses_F9,Sweden,6036x6203 rep1
Crosses_F9,Sweden,6038x6039 rep2
Crosses_F9,Sweden,6039x5835 rep1
