"tg_ecotypeid","size","perimeter","length","width"
991,0.1465,1.452,0.521,0.3535
992,0.13,1.36633333333333,0.488666666666667,0.335666666666667
997,0.1375,1.3995,0.497,0.3485
1061,0.135,1.381,0.484,0.352
1062,0.146,1.453,0.505,0.365
1063,0.147,1.43816666666667,0.499666666666667,0.369666666666667
1158,0.113666666666667,1.269,0.450333333333333,0.316
1254,0.153333333333333,1.48366666666667,0.531333333333333,0.360666666666667
1257,0.144,1.432,0.5055,0.356
1317,0.144,1.427,0.499,0.365
1318,0.131666666666667,1.35733333333333,0.473,0.350333333333333
1363,0.153,1.48425,0.52475,0.3695
1435,0.129833333333333,1.35716666666667,0.483833333333333,0.338333333333333
1552,0.163333333333333,1.54133333333333,0.56,0.366666666666667
1585,0.148,1.4525,0.5105,0.3665
5829,0.133,1.374,0.489,0.34
5830,0.112333333333333,1.25733333333333,0.444,0.318
5831,0.129333333333333,1.348,0.47,0.346
5832,0.154,1.48433333333333,0.525333333333333,0.37
5856,0.146333333333333,1.449,0.520333333333333,0.352333333333333
5865,0.140666666666667,1.409,0.492333333333333,0.358666666666667
5867,0.137,1.398,0.4965,0.3475
6009,0.160666666666667,1.5335,0.559833333333333,0.361833333333333
6011,0.142666666666667,1.41733333333333,0.500333333333333,0.352333333333333
6012,0.172,1.576,0.556666666666667,0.390333333333333
6013,0.161,1.531,0.562,0.361
6017,0.126,1.339,0.484,0.329
6019,0.131,1.363,0.486,0.341
6020,0.126,1.3415,0.485,0.329
6021,0.1465,1.4585,0.5295,0.3475
6023,0.122,1.31566666666667,0.465,0.329666666666667
6025,0.1535,1.48,0.5185,0.373
6030,0.166333333333333,1.54766666666667,0.561666666666667,0.368666666666667
6034,0.131666666666667,1.367,0.483,0.342666666666667
6035,0.129,1.351,0.47,0.348
6036,0.118,1.289,0.457333333333333,0.325666666666667
6038,0.127,1.34433333333333,0.477666666666667,0.335666666666667
6039,0.136,1.3905,0.493,0.3485
6040,0.134,1.389,0.496333333333333,0.339333333333333
6041,0.124666666666667,1.32133333333333,0.462,0.341666666666667
6042,0.138333333333333,1.39666666666667,0.498666666666667,0.348666666666667
6043,0.156,1.50033333333333,0.534,0.364
6046,0.164,1.53566666666667,0.547666666666667,0.376333333333333
6064,0.16,1.4915,0.518,0.3865
6069,0.167,1.52866666666667,0.528333333333333,0.396
6071,0.14675,1.46575,0.53975,0.34075
6073,0.114,1.268,0.456,0.313666666666667
6085,0.1095,1.2375,0.43175,0.31925
6086,0.156,1.508,0.551,0.357
6090,0.118333333333333,1.28433333333333,0.45,0.330333333333333
6092,0.1285,1.3445,0.4685,0.347
6094,0.131,1.348,0.473,0.343
6097,0.131666666666667,1.36566666666667,0.481666666666667,0.342333333333333
6098,0.125333333333333,1.33,0.47,0.334666666666667
6102,0.1225,1.311,0.4615,0.332
6104,0.133,1.37266666666667,0.486,0.342666666666667
6106,0.138666666666667,1.40966666666667,0.499666666666667,0.349
6108,0.141,1.409,0.491,0.362
6109,0.132,1.374,0.484,0.3455
6111,0.134,1.37366666666667,0.4765,0.353
6112,0.125666666666667,1.3305,0.466833333333333,0.339833333333333
6114,0.124666666666667,1.326,0.464,0.338666666666667
6115,0.112,1.25133333333333,0.4355,0.322166666666667
6118,0.147833333333333,1.45366666666667,0.518,0.358833333333333
6122,0.1375,1.399,0.499,0.348
6124,0.108,1.236,0.438,0.312
6126,0.13,1.36083333333333,0.476166666666667,0.343166666666667
6129,0.132166666666667,1.37133333333333,0.4835,0.344333333333333
6131,0.1345,1.39283333333333,0.502,0.338
6133,0.1705,1.571,0.5615,0.383
6134,0.130333333333333,1.35766666666667,0.479,0.343333333333333
6136,0.149333333333333,1.45533333333333,0.512666666666667,0.367333333333333
6138,0.1435,1.4355,0.514833333333333,0.351
