accession,FT_10C
991,109.666666666667
992,116.666666666667
997,100.333333333333
1002,101.666666666667
1061,96
1062,90.3333333333333
1063,84
1158,99
1254,91.5
1257,88
1317,101.666666666667
1318,85
1363,104
1552,105.333333333333
1585,101.333333333333
5829,62.3333333333333
5830,97.6666666666667
5831,100.333333333333
5856,106
5865,106.666666666667
5867,130
6011,94.5
6012,97.6666666666667
6013,93.3333333333333
6017,98
6019,101.333333333333
6020,92.5
6021,94.6666666666667
6023,92
6024,104.333333333333
6025,128.666666666667
6030,108
6034,99.3333333333333
6035,82.6666666666667
6036,92.3333333333333
6038,89
6039,94.3333333333333
6040,93
6041,77
6043,107
6046,115.333333333333
6064,105
6069,111.333333333333
6070,104
6071,123
6073,104
6074,100.666666666667
6076,122
6085,131
6086,99
6088,105.5
6090,91.6666666666667
6092,104.666666666667
6094,100.666666666667
6097,109
6098,111.666666666667
6099,116.333333333333
6100,101.666666666667
6102,127
6104,101
6105,99
6106,102
6107,117.333333333333
6108,80
6109,100.666666666667
6111,116.333333333333
6112,94.6666666666667
6113,126
6114,98
6115,98
6118,97.6666666666667
6122,101.666666666667
6124,129
6125,105.666666666667
6126,102.333333333333
6127,122.333333333333
6128,117.5
6131,117
6132,104.666666666667
6133,115.333333333333
6134,110.333333333333
6136,96
6137,93
6138,96.3333333333333
6140,99.3333333333333
6142,97
6145,114
6148,104
6149,105.333333333333
6150,113.5
6151,102
6153,158.333333333333
6154,153.5
6163,167
6166,145.666666666667
6169,116
6171,102.333333333333
6172,112.333333333333
6173,93
6177,95.6666666666667
6180,70
6184,93.6666666666667
6189,74
6191,78.3333333333333
6192,94.3333333333333
6193,85.6666666666667
6194,108.666666666667
6195,83.3333333333333
6197,74.3333333333333
6198,84.3333333333333
6201,93
6202,106.333333333333
6203,109.333333333333
6209,93.3333333333333
6210,103.666666666667
6216,137
6217,112.666666666667
6218,119.333333333333
6220,104.333333333333
6221,110.333333333333
6231,106.333333333333
6237,106
6238,100
6240,97.3333333333333
6241,97
6243,68
6244,88
6252,116.666666666667
6255,136
6258,117
6276,126
6284,117.666666666667
6413,105
6913,123
6917,142.5
6918,116
6965,94.6666666666667
6974,105.666666666667
7383,60.3333333333333
7517,113.666666666667
7519,89.6666666666667
8222,99
8227,116.333333333333
8230,111
8231,100.666666666667
8237,96.6666666666667
8240,92
8241,90.3333333333333
8242,118
8247,98
8256,76
8258,93
8259,91
8283,85
8307,79.3333333333333
8334,73.6666666666667
8351,101
8369,97.3333333333333
8376,99
8386,74.6666666666667
8387,71.6666666666667
8422,117.333333333333
8423,87
8426,62.3333333333333
9057,88.3333333333333
9058,114
9321,101.666666666667
9323,99.6666666666667
9332,114.666666666667
9336,84
9339,104.666666666667
9343,95.3333333333333
9352,128.666666666667
9353,125.333333333333
9356,101.333333333333
9363,136.666666666667
9369,81.6666666666667
9371,129.666666666667
9380,100.666666666667
9381,94.3333333333333
9382,98
9383,98.5
9386,119
9388,128
9390,79
9391,85.3333333333333
9392,87.3333333333333
9394,111.5
9395,105.333333333333
9399,95.6666666666667
9402,89.3333333333333
9404,94
9405,103
9407,91.3333333333333
9408,106.666666666667
9409,107.666666666667
9412,88
9413,86
9416,132
9421,104.666666666667
9427,96.3333333333333
9433,129
9434,109.666666666667
9437,91
9450,87.6666666666667
9451,106.666666666667
9452,100.333333333333
9453,106.666666666667
9454,102.333333333333
9455,95
9470,103
9476,120
9481,107.333333333333
