label	genotype	id	i	pool	checked	comment
1.2.E1	8283x9471 rep2	ISC_307.2	1	1		
1.5.F6	6074x9421 rep1	ISC_098.1	2	1		
1.7.B5	8240x6036 rep1	ISC_292.1	3	1		
1.11.C3	1257x8334 rep2	ISC_020.2	4		2	
1.3.B6	8237x6194 rep2	ISC_291.2	5	1		
1.13.E5	6030x992 rep2	ISC_070.2	6	1		
1.7.F6	6070x6019 rep1	ISC_093.1	7	1		
1.11.G6	1254x6076 rep2	ISC_018.2	8	2	2	
1.10.H1	9356x6094 rep1	ISC_346.1	9	1		
1.3.B4	6124x6184 rep2	ISC_142.2	10	1		
1.10.H6	6198x6118 rep1	ISC_219.1	11	1		
1.5.F2	1061x6131 rep1	ISC_005.1	12	2	2	
1.4.F5	997x8307 rep1	ISC_426.1	13	1		
1.14.C1	5867x6913 rep2	ISC_048.2	14	1		
1.10.C5	6112x6166 rep1	ISC_132.1	15	1		
1.13.C1	6917x6011 rep2	ISC_269.2	16	2	2	
1.2.G2	6097x1318 rep1	ISC_114.1	17	1		
1.5.G4	9453x6106 rep2	ISC_409.2	18	1		
1.5.A2	9392x6073 rep1	ISC_368.1	19	1		
1.1.G5	1257x8334 rep1	ISC_019.1	20	2	2	
1.7.D3	6913x6149 rep1	ISC_266.1	21	1		
1.1.D2	6109x9343 rep1	ISC_130.1	22	1		
1.7.E1	8386x6241 rep1	ISC_318.1	23	1		
1.11.E4	6071x6145 rep1	ISC_095.1	24	2	2	
1.7.F4	6217x6126 rep2	ISC_234.2	25	1		
1.13.A5	1158x6092 rep2	ISC_016.2	26	1		
1.7.D3	6913x6149 rep1	ISC_266.1	27	1		
1.1.C2	9352x8422 rep2	ISC_343.2	28	2		
1.11.D4	6163x6111 rep1	ISC_183.1	29	1		
1.13.D4	6172x6148 rep2	ISC_194.2	30	1		
1.2.H5	6140x9388 rep1	ISC_167.1	31	1		
1.2.G4	6148x6138 rep2	ISC_174.2	32	2	2	
1.7.B2	6035x9433 rep2	ISC_074.2	33	1		
1.11.E3	6255x6136 rep1	ISC_256.1	34	1		
1.11.D5	6917x6011 rep1	ISC_268.1	35	1		
1.7.H5	6163x6111 rep2	ISC_184.2	36	2	2	
1.1.D4	1002x6244 rep1	ISC_003.1	37	1		
1.9.D5	6166x7519 rep2	ISC_188.2	38	1		
1.10.A4	6126x6172 rep1	ISC_145.1	39	1		
1.3.B5	9399x6097 rep2	ISC_373.2	40	2	2	
1.9.D2	8387x6238 rep2	ISC_321.2	41	1		
1.1.F4	8242x6171 rep1	ISC_296.1	42	1		
1.1.C5	9332x6413 rep1	ISC_336.1	43	1		
1.12.H1	6092x6125 rep2	ISC_111.2	44	2	2	
1.12.E3	9453x6106 rep1	ISC_408.1	45	1		
1.1.F5	1367x8256 rep2	ISC_026.2	46	1		
1.7.D6	6218x6043 rep2	ISC_236.2	47	1		
1.5.H4	8247x6154 rep2	ISC_299.2	48	2	2	
1.1.F1	5856x9452 rep1	ISC_043.1	49	1		
1.4.B6	6036x6203 rep1	ISC_077.1	50	1		
1.13.A2	175x6913 rep1	ISC_033.1	51	1		
1.6.A1	6284x5830 rep2	ISC_263.2	52	2	2	
1.8.D1	6145x8247 rep1	ISC_171.1	53	1		
1.12.C4	8259x6217 rep1	ISC_304.1	54	1		
1.1.B1	9353x6109 rep1	ISC_344.1	55	1		
1.14.A1	6258x1257 rep1	ISC_258.1	56	2	2	
1.12.E4	9452x6114 rep1	ISC_406.1	57	1		
1.3.E5	6017x9392 rep2	ISC_055.2	58	1		
1.12.H6	9391x9353 rep2	ISC_367.2	59	1		
1.5.E4	6020x6030 rep2	ISC_059.2	60	2	2	
1.8.H3	6137x5867 rep1	ISC_163.1	61	1		
1.6.A6	9451x9437 rep1	ISC_404.1	62	1		
1.3.B2	6104x6034 rep2	ISC_122.2	63	1		
1.12.F3	6151x9408 rep1	ISC_179.1	64	2	2	
1.11.D2	9476x991 rep1	ISC_418.1	65	1		
1.4.G6	1585x9427 rep2	ISC_032.2	66	1		
1.7.F5	6086x8222 rep2	ISC_105.2	67	1		
1.2.E4	6216x6258 rep1	ISC_231.1	68	2	2	
1.8.H2	9437x6197 rep1	ISC_400.1	69	1		
1.10.H3	6244x6173 rep1	ISC_252.1	70	1		
1.8.C2	6210x6134 rep1	ISC_229.1	71	1		
1.6.A5	6041x6153 rep2	ISC_084.2	72	2	2	
1.4.C2	6131x6113 rep2	ISC_152.2	73	1		
1.7.A1	6064x9404 rep1	ISC_089.1	74	1		
1.11.A2	9402x6169 rep1	ISC_374.1	75	1		
1.5.A6	6127x6918 rep2	ISC_148.2	76	2	2	
1.12.A2	6149x9395 rep2	ISC_176.2	77	1		
1.8.E2	9057x9382 rep2	ISC_329.2	78	1		
1.4.E6	6192x1062 rep2	ISC_208.2	79	1		
1.8.G1	6150x6218 rep2	ISC_178.2	80	2	2	
1.11.G2	6243x6180 rep2	ISC_251.2	81	1		
1.1.B6	1158x6092 rep1	ISC_015.1	82	1		
1.2.D4	6145x8247 rep2	ISC_172.2	83	1		
1.13.G4	6122x6252 rep2	ISC_140.2	84	2	2	
1.10.C2	9413x8423 rep1	ISC_388.1	85	1		
1.2.E3	9470x6107 rep2	ISC_415.2	86	1		
1.1.H4	6024x1367 rep2	ISC_064.2	87	1		
1.14.E2	6085x9409 rep2	ISC_103.2	88	2	2	
1.11.D1	6918x9323 rep2	ISC_271.2	89	1		
1.9.B1	8334x8231 rep2	ISC_311.2	90	1		
1.9.F2	6043x9453 rep1	ISC_085.1	91	1		
1.9.B4	9388x9057 rep1	ISC_360.1	92	2	2	
1.6.C3	6198x6118 rep2	ISC_220.2	93	1		
1.3.D2	5831x8237 rep2	ISC_040.2	94	1		
1.9.C3	1062x6108 rep2	ISC_008.2	95	1		
1.14.H2	9381x6198 rep1	ISC_354.1	96	2	2	
1.4.H4	1062x6108 rep1	ISC_007.1	97	1		
1.1.A3	1063x1435 rep1	ISC_009.1	98	1		
1.3.G6	9481x9399 rep1	ISC_420.1	99	1		
1.7.C1	6071x6145 rep2	ISC_096.2	100	2	2	
1.11.F5	9407x6040 rep2	ISC_381.2	101	1		
1.3.E4	9343x8259 rep2	ISC_341.2	102			
1.12.H3	8230x6195 rep2	ISC_287.2	103	1		
1.8.E4	9391x5867 rep1	ISC_364.1	104	2	2	
1.4.F2	9323x8369 rep2	ISC_335.2	105	1		
1.12.C6	8258x6115 rep1	ISC_302.1	106	1		
1.6.D5	6070x6019 rep2	ISC_094.2	107	1		
1.6.C4	6039x5835 rep2	ISC_080.2	108	2	2	
1.2.F1	9471x9450 rep1	ISC_416.1	109	1		
1.9.C4	9452x6114 rep2	ISC_407.2	110	1		
1.1.H2	9321x6189 rep2	ISC_333.2	111	1		
1.12.E6	9388x9057 rep2	ISC_361.2	112	2	2	
1.9.A5	9408x9352 rep1	ISC_382.1	113	1		
1.10.D2	6194x1061 rep1	ISC_213.1	114	1		
1.12.G2	6040x6041 rep2	ISC_082.2	115	1		
1.6.A2	1061x6131 rep2	ISC_006.2	116	2	2	
1.3.A1	9404x9390 rep2	ISC_377.2	117	1		
1.1.E4	6069x9470 rep1	ISC_091.1	118	1		
1.1.A5	6025x6046 rep2	ISC_068.2	119			
1.1.E3	9413x8423 rep2	ISC_389.2	120	2	2	
1.3.D6	8247x6154 rep1	ISC_298.1	121	1		
1.5.F1	1137x6237 rep2	ISC_014.2	122	1		
1.2.B5	997x8307 rep2	ISC_427.2	123	1		
1.8.F1	9437x6197 rep2	ISC_401.2	124	2	2	
1.8.C3	992x9332 rep1	ISC_424.1	125	1		
1.4.B1	6043x9453 rep2	ISC_086.2	126			
1.1.C4	7517x6284 rep2	ISC_279.2	127	1		
1.6.G1	9332x6413 rep2	ISC_337.2	128	2	2	
1.7.G3	6138x6122 rep2	ISC_166.2	129	1		
1.6.A4	6099x9394 rep2	ISC_118.2	130	1		
